title,make,model,year,category,body_type,transmission,fuel_type,engine,mileage,seats,color,location,rental_price,sale_price,description
2012 Toyota Corolla XLi VVTi,Toyota,Corolla,2012,Sedan,Sedan,Manual,Petrol,1.3L,190000,5,White,Islamabad,1600.0,1800000.0,"Local assembly, 190,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2015 Toyota Vitz F 1.0,Toyota,Vitz,2015,Hatchback,Hatchback,Automatic,Petrol,1.0L,67000,5,White,Lahore,2000.0,2260000.0,"Imported assembly, 67,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2013 Suzuki Alto ECO-L,Suzuki,Alto,2013,Economy,Hatchback,Automatic,Petrol,660cc,80000,5,Black,Lahore,1200.0,1400000.0,"Imported assembly, 80,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2018 Suzuki Mehran VXR Euro II,Suzuki,Mehran,2018,Economy,Hatchback,Manual,Petrol,800cc,45000,5,Black,Karachi,800.0,885000.0,"Local assembly, 45,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2015 Suzuki Cultus EURO II,Suzuki,Cultus,2015,Hatchback,Hatchback,Manual,Petrol,1.0L,62000,5,White,Lahore,1100.0,1250000.0,"Local assembly, 62,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2012 Toyota Corolla Altis 1.6,Toyota,Corolla,2012,Sedan,Sedan,Manual,Petrol,1.6L,182000,5,White,Karachi,1500.0,1775000.0,"Local assembly, 182,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2015 Toyota Passo X,Toyota,Passo,2015,Hatchback,Hatchback,Automatic,Petrol,1.0L,81000,5,White,Karachi,1600.0,1890000.0,"Imported assembly, 81,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2020 KIA Sportage FWD,KIA,Sportage,2020,SUV,SUV,Automatic,Petrol,2.0L,6500,7,Grey,Islamabad,4500.0,5200000.0,"Local assembly, 6,500 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2014 Suzuki Cultus VXRi,Suzuki,Cultus,2014,Hatchback,Hatchback,Manual,Petrol,1.0L,65000,5,Black,Karachi,900.0,1000000.0,"Local assembly, 65,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Toyota Hilux Revo V Automatic 3.0,Toyota,Hilux,2017,Pickup,Pickup,Automatic,Diesel,3.0L,58000,5,White,Islamabad,5700.0,6550000.0,"Local assembly, 58,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2010 Honda Civic VTi Prosmatec 1.8 i-VTEC,Honda,Civic,2010,Sedan,Sedan,Automatic,Petrol,1.8L,167000,5,Red,Islamabad,1500.0,1725000.0,"Local assembly, 167,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Toyota Corolla GLi Automatic 1.3 VVTi,Toyota,Corolla,2017,Sedan,Sedan,Automatic,Petrol,1.3L,61500,5,Grey,Lahore,2600.0,2950000.0,"Local assembly, 61,500 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2019 KIA Sportage AWD,KIA,Sportage,2019,SUV,SUV,Automatic,Petrol,2.0L,27000,7,White,Faisalabad,4600.0,5265000.0,"Local assembly, 27,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Suzuki Mehran VX Euro II,Suzuki,Mehran,2017,Economy,Hatchback,Manual,Petrol,800cc,90000,5,White,Islamabad,700.0,825000.0,"Local assembly, 90,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2016 Suzuki Swift DLX 1.3,Suzuki,Swift,2016,Hatchback,Hatchback,Manual,Petrol,1.3L,54000,5,Blue,Wazirabad,1400.0,1600000.0,"Local assembly, 54,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2012 Toyota Land Cruiser ZX,Toyota,Land,2012,Luxury,SUV,Automatic,Diesel,4.6L,65500,5,Blue,Lahore,22700.0,26100000.0,"Imported assembly, 65,500 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Toyota Aqua S,Toyota,Aqua,2017,Hybrid,Hatchback,Automatic,Hybrid,1.5L,44000,5,Grey,Karachi,2900.0,3290000.0,"Imported assembly, 44,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2014 Toyota Corolla Altis Sportivo 1.6,Toyota,Corolla,2014,Sedan,Sedan,Manual,Petrol,1.6L,72000,5,White,Lahore,2000.0,2300000.0,"Local assembly, 72,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Toyota Prado TX 2.7,Toyota,Prado,2017,Luxury,SUV,Automatic,Diesel,2.7L,175757,5,Grey,Islamabad,10900.0,12500000.0,"Imported assembly, 175,757 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2018 Suzuki Wagon R VXL,Suzuki,Wagon,2018,Hatchback,Hatchback,Manual,Petrol,1.0L,90000,5,Grey,Lahore,1300.0,1545000.0,"Local assembly, 90,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2020 KIA Sportage AWD,KIA,Sportage,2020,SUV,SUV,Automatic,Petrol,2.0L,3700,7,Black,Lahore,5000.0,5800000.0,"Local assembly, 3,700 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2018 Suzuki Mehran VXR Euro II (CNG),Suzuki,Mehran,2018,Economy,Hatchback,Manual,Petrol,800cc,19000,5,White,Islamabad,900.0,985000.0,"Local assembly, 19,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2013 Daihatsu Mira G Smart Drive Package,Daihatsu,Mira,2013,Economy,Hatchback,Automatic,Petrol,660cc,75000,5,White,Karachi,1300.0,1450000.0,"Imported assembly, 75,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2016 Toyota Corolla Altis Grande CVT-i 1.8,Toyota,Corolla,2016,Sedan,Sedan,Automatic,Petrol,1.8L,65000,5,White,Karachi,2600.0,2950000.0,"Local assembly, 65,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2014 Suzuki Alto ECO-S,Suzuki,Alto,2014,Economy,Hatchback,Automatic,Petrol,660cc,100000,5,Grey,Islamabad,1300.0,1450000.0,"Imported assembly, 100,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Toyota Corolla Altis Grande CVT-i 1.8,Toyota,Corolla,2017,Sedan,Sedan,Automatic,Petrol,1.8L,60000,5,Red,Karachi,3100.0,3550000.0,"Local assembly, 60,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
