make,model,year,category,body_type,transmission,fuel_type,engine,mileage,seats,location,sale_price
KIA,Sportage,2019,SUV,SUV,Automatic,Petrol,2.0L,83016,5,Faisalabad,3950000
KIA,Sportage,2019,SUV,SUV,Manual,Petrol,2.0L,60197,5,Rawalpindi,4025000
Suzuki,Bolan,2006,Economy,Van,Automatic,Petrol,800cc,240195,8,Peshawar,300000
Suzuki,Bolan,2011,Economy,Van,Manual,Petrol,800cc,178577,8,Islamabad,345000
Daihatsu,Mira,2012,Economy,Hatchback,Automatic,Petrol,660cc,165121,4,Karachi,490000
Hyundai,Tucson,2024,SUV,SUV,Manual,Petrol,2.0L,30324,5,Rawalpindi,6525000
Suzuki,Wagon R,2024,Hatchback,Hatchback,Automatic,Petrol,1.0L,21592,5,Karachi,2450000
Suzuki,Cultus,2018,Hatchback,Hatchback,Manual,Petrol,1.0L,88578,5,Islamabad,1155000
Daihatsu,Mira,2020,Economy,Hatchback,Manual,Petrol,660cc,62964,4,Faisalabad,1160000
Suzuki,Mehran,2026,Economy,Hatchback,Manual,Petrol,800cc,0,4,Karachi,1590000
Hyundai,Tucson,2025,SUV,SUV,Automatic,Petrol,2.0L,5673,5,Lahore,8160000
Suzuki,APV,2018,Van,Van,Manual,Petrol,1.5L,118296,8,Quetta,1535000
KIA,Sportage,2019,SUV,SUV,Manual,Petrol,2.0L,85630,5,Multan,2875000
Daihatsu,Mira,2022,Economy,Hatchback,Manual,Petrol,660cc,38024,4,Quetta,1490000
Suzuki,Cultus,2013,Hatchback,Hatchback,Automatic,Petrol,1.0L,157435,5,Peshawar,600000
Suzuki,Wagon R,2017,Hatchback,Hatchback,Automatic,Petrol,1.0L,102653,5,Rawalpindi,995000
Suzuki,Cultus,2024,Hatchback,Hatchback,Manual,Petrol,1.0L,28281,5,Lahore,2510000
Daihatsu,Mira,2018,Economy,Hatchback,Manual,Petrol,660cc,99019,4,Peshawar,985000
KIA,Sportage,2024,SUV,SUV,Automatic,Petrol,2.0L,12811,5,Faisalabad,7730000
Suzuki,Cultus,2010,Hatchback,Hatchback,Manual,Petrol,1.0L,217893,5,Multan,420000
Suzuki,Alto,2016,Economy,Hatchback,Manual,Petrol,1.0L,114789,4,Multan,650000
Toyota,Land Cruiser,2016,Luxury,SUV,Manual,Petrol,4.6L,117859,7,Peshawar,9555000
Toyota,Prius,2011,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,201198,5,Karachi,895000
Toyota,Fortuner,2017,SUV,SUV,Automatic,Petrol,2.8L,113885,7,Karachi,5085000
Honda,City,2024,Sedan,Sedan,Automatic,Petrol,1.2L,32743,5,Rawalpindi,4655000
Toyota,Fortuner,2020,SUV,SUV,Automatic,Diesel,2.8L,71479,7,Multan,8090000
Toyota,Fortuner,2024,SUV,SUV,Manual,Petrol,2.8L,35308,7,Multan,10010000
Suzuki,Alto,2022,Economy,Hatchback,Manual,Petrol,660cc,62167,4,Karachi,1385000
Honda,Vezel,2026,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,0,5,Quetta,8955000
Suzuki,Cultus,2019,Hatchback,Hatchback,Manual,Petrol,1.0L,87772,5,Rawalpindi,1295000
Toyota,Prius,2018,Hybrid,Hatchback,Manual,Hybrid,1.8L Hybrid,93634,5,Rawalpindi,2060000
Honda,Civic,2013,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,151376,5,Multan,1725000
Honda,Civic,2025,Sedan,Sedan,Automatic,Petrol,1.8L,9524,5,Peshawar,7665000
Daihatsu,Mira,2012,Economy,Hatchback,Manual,Petrol,660cc,177226,4,Faisalabad,370000
Toyota,Yaris,2026,Sedan,Sedan,Manual,Petrol,1.5L,10631,5,Faisalabad,4930000
Toyota,Prius,2024,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,29341,5,Quetta,4530000
Toyota,Prius,2020,Hybrid,Hatchback,Manual,Hybrid,1.8L Hybrid,70967,5,Faisalabad,2930000
Suzuki,Mehran,2026,Economy,Hatchback,Automatic,Petrol,800cc,4193,4,Rawalpindi,1690000
Toyota,Fortuner,2013,SUV,SUV,Manual,Diesel,2.7L,170573,7,Multan,2790000
Suzuki,Bolan,2018,Economy,Van,Manual,Petrol,800cc,96723,8,Lahore,830000
KIA,Sportage,2025,SUV,SUV,Automatic,Petrol,2.0L,10655,5,Lahore,8195000
Hyundai,Tucson,2021,SUV,SUV,Manual,Petrol,2.0L,38418,5,Lahore,4705000
Suzuki,Swift,2010,Hatchback,Hatchback,Manual,Petrol,1.3L,205460,5,Quetta,610000
Hyundai,Tucson,2023,SUV,SUV,Automatic,Petrol,2.0L,42828,5,Lahore,6690000
Toyota,Yaris,2021,Sedan,Sedan,Automatic,Petrol,1.5L,63743,5,Multan,2925000
Honda,Civic,2021,Sedan,Sedan,Manual,Petrol,1.8L,62511,5,Lahore,4135000
Toyota,Yaris,2021,Sedan,Sedan,Automatic,Petrol,1.3L,46742,5,Lahore,3030000
Suzuki,Bolan,2019,Economy,Van,Manual,Petrol,800cc,95124,8,Rawalpindi,830000
Suzuki,Cultus,2019,Hatchback,Hatchback,Manual,Petrol,1.0L,98770,5,Multan,1215000
Honda,City,2016,Sedan,Sedan,Automatic,Petrol,1.5L,122322,5,Rawalpindi,1715000
Toyota,Land Cruiser,2018,Luxury,SUV,Manual,Petrol,4.6L,93099,7,Faisalabad,11650000
Hyundai,Tucson,2024,SUV,SUV,Automatic,Petrol,2.0L,38618,5,Quetta,7365000
Suzuki,Mehran,2007,Economy,Hatchback,Manual,Petrol,800cc,214123,4,Faisalabad,245000
Toyota,Land Cruiser,2016,Luxury,SUV,Automatic,Petrol,3.5L,102921,7,Peshawar,11525000
Daihatsu,Mira,2018,Economy,Hatchback,Manual,Petrol,660cc,102515,4,Faisalabad,885000
KIA,Sportage,2021,SUV,SUV,Automatic,Petrol,2.0L,58938,5,Peshawar,4780000
Honda,Vezel,2014,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,145928,5,Faisalabad,1675000
Suzuki,APV,2025,Van,Van,Manual,Petrol,1.5L,20668,8,Lahore,4155000
Suzuki,Swift,2020,Hatchback,Hatchback,Automatic,Petrol,1.3L,86471,5,Faisalabad,1850000
Toyota,Corolla,2016,Sedan,Sedan,Manual,Petrol,1.3L,116335,5,Karachi,1850000
Honda,Civic,2022,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,51052,5,Rawalpindi,5720000
Suzuki,Wagon R,2026,Hatchback,Hatchback,Manual,Petrol,1.0L,0,5,Faisalabad,3115000
Honda,Vezel,2019,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,99229,5,Peshawar,3330000
Honda,BR-V,2020,Family,SUV,Manual,Petrol,1.5L,63544,7,Karachi,3430000
Suzuki,Wagon R,2020,Hatchback,Hatchback,Manual,Petrol,1.0L,51429,5,Multan,1340000
Toyota,Prius,2024,Hybrid,Hatchback,Manual,Hybrid,1.8L Hybrid,21966,5,Multan,5010000
Honda,Civic,2017,Sedan,Sedan,Automatic,Petrol,1.8L,117650,5,Faisalabad,2810000
Honda,City,2024,Sedan,Sedan,Manual,Petrol,1.2L,13481,5,Faisalabad,4065000
Toyota,Hilux,2018,Pickup,Pickup,Automatic,Diesel,2.8L,97826,5,Faisalabad,3620000
Toyota,Corolla,2011,Sedan,Sedan,Automatic,Petrol,1.3L,171184,5,Islamabad,1115000
Toyota,Yaris,2022,Sedan,Sedan,Automatic,Petrol,1.3L,42374,5,Faisalabad,3295000
Honda,Civic,2026,Sedan,Sedan,Automatic,Petrol,1.8L,2907,5,Faisalabad,7520000
Suzuki,Bolan,2026,Economy,Van,Manual,Petrol,800cc,15978,8,Rawalpindi,1880000
KIA,Sportage,2024,SUV,SUV,Manual,Petrol,2.0L,19054,5,Faisalabad,6935000
Honda,Vezel,2023,Hybrid,SUV,Manual,Hybrid,1.5L Hybrid,18318,5,Multan,5910000
Suzuki,APV,2026,Van,Van,Manual,Petrol,1.5L,0,8,Rawalpindi,4740000
Suzuki,Alto,2023,Economy,Hatchback,Manual,Petrol,1.0L,37464,4,Lahore,1725000
Suzuki,Swift,2010,Hatchback,Hatchback,Automatic,Petrol,1.3L,169058,5,Quetta,565000
Suzuki,Mehran,2019,Economy,Hatchback,Manual,Petrol,800cc,76242,4,Peshawar,625000
Hyundai,Tucson,2021,SUV,SUV,Manual,Petrol,2.0L,62392,5,Karachi,4920000
KIA,Sportage,2023,SUV,SUV,Automatic,Petrol,2.0L,45048,5,Lahore,5605000
Toyota,Yaris,2025,Sedan,Sedan,Manual,Petrol,1.5L,0,5,Islamabad,4655000
Suzuki,Cultus,2014,Hatchback,Hatchback,Manual,Petrol,1.0L,158628,5,Peshawar,580000
Suzuki,Wagon R,2019,Hatchback,Hatchback,Manual,Petrol,1.0L,83106,5,Peshawar,1155000
Suzuki,Cultus,2019,Hatchback,Hatchback,Manual,Petrol,1.0L,67143,5,Peshawar,1190000
Honda,Civic,2015,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,118486,5,Lahore,2265000
Toyota,Corolla,2013,Sedan,Sedan,Manual,Petrol,1.6L,136150,5,Quetta,1265000
Suzuki,APV,2017,Van,Van,Automatic,Petrol,1.5L,93253,8,Faisalabad,1475000
KIA,Sportage,2026,SUV,SUV,Automatic,Petrol,2.0L,2178,5,Quetta,8190000
Honda,Civic,2024,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,34509,5,Karachi,7230000
Suzuki,Wagon R,2021,Hatchback,Hatchback,Automatic,Petrol,1.0L,74701,5,Peshawar,1450000
Suzuki,Bolan,2022,Economy,Van,Manual,Petrol,800cc,51451,8,Islamabad,1420000
Honda,BR-V,2021,Family,SUV,Manual,Petrol,1.5L,60389,7,Multan,3590000
Hyundai,Tucson,2026,SUV,SUV,Automatic,Petrol,2.0L,0,5,Islamabad,9705000
Suzuki,Mehran,2010,Economy,Hatchback,Automatic,Petrol,800cc,177872,4,Faisalabad,260000
Honda,BR-V,2017,Family,SUV,Manual,Petrol,1.5L,113768,7,Rawalpindi,2155000
Suzuki,Swift,2012,Hatchback,Hatchback,Automatic,Petrol,1.3L,146166,5,Lahore,740000
Suzuki,Bolan,2015,Economy,Van,Automatic,Petrol,800cc,118031,8,Rawalpindi,590000
Toyota,Yaris,2021,Sedan,Sedan,Automatic,Petrol,1.3L,64767,5,Quetta,2570000
Toyota,Prius,2014,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,127430,5,Quetta,1400000
Toyota,Land Cruiser,2012,Luxury,SUV,Manual,Petrol,3.5L,177542,7,Karachi,6115000
Suzuki,Wagon R,2015,Hatchback,Hatchback,Manual,Petrol,1.0L,143432,5,Rawalpindi,655000
Suzuki,Swift,2018,Hatchback,Hatchback,Manual,Petrol,1.3L,121701,5,Lahore,1455000
Daihatsu,Mira,2024,Economy,Hatchback,Automatic,Petrol,660cc,37344,4,Karachi,2150000
Hyundai,Tucson,2020,SUV,SUV,Manual,Petrol,2.0L,84812,5,Islamabad,4500000
Suzuki,Bolan,2009,Economy,Van,Automatic,Petrol,800cc,222967,8,Multan,300000
Suzuki,APV,2015,Van,Van,Automatic,Petrol,1.5L,124337,8,Lahore,1265000
Honda,Vezel,2018,Hybrid,SUV,Manual,Hybrid,1.5L Hybrid,97767,5,Karachi,2965000
Toyota,Hilux,2011,Pickup,Pickup,Automatic,Diesel,2.4L,178210,5,Lahore,1765000
Daihatsu,Mira,2019,Economy,Hatchback,Automatic,Petrol,660cc,86965,4,Faisalabad,1055000
Suzuki,Wagon R,2022,Hatchback,Hatchback,Automatic,Petrol,1.0L,44587,5,Multan,1810000
Suzuki,Alto,2026,Economy,Hatchback,Automatic,Petrol,1.0L,8206,4,Lahore,2520000
Toyota,Hilux,2020,Pickup,Pickup,Manual,Diesel,2.8L,85712,5,Faisalabad,4505000
Toyota,Corolla,2013,Sedan,Sedan,Manual,Petrol,1.8L,158619,5,Karachi,1235000
Toyota,Yaris,2022,Sedan,Sedan,Automatic,Petrol,1.5L,46652,5,Quetta,3145000
Suzuki,Alto,2019,Economy,Hatchback,Manual,Petrol,660cc,89800,4,Islamabad,915000
Suzuki,Wagon R,2025,Hatchback,Hatchback,Manual,Petrol,1.0L,11105,5,Multan,2695000
Honda,City,2022,Sedan,Sedan,Manual,Petrol,1.5L,38194,5,Peshawar,3100000
KIA,Sportage,2025,SUV,SUV,Automatic,Petrol,2.0L,12068,5,Lahore,9220000
Suzuki,Swift,2026,Hatchback,Hatchback,Manual,Petrol,1.3L,1048,5,Rawalpindi,4170000
Suzuki,APV,2019,Van,Van,Manual,Petrol,1.5L,91279,8,Rawalpindi,1850000
Toyota,Yaris,2020,Sedan,Sedan,Automatic,Petrol,1.3L,74818,5,Islamabad,2540000
Toyota,Corolla,2008,Sedan,Sedan,Manual,Petrol,1.6L,176590,5,Multan,965000
Suzuki,Swift,2015,Hatchback,Hatchback,Automatic,Petrol,1.3L,106598,5,Islamabad,1065000
Toyota,Prius,2014,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,157541,5,Lahore,1350000
Toyota,Prius,2025,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,10841,5,Lahore,6240000
Honda,BR-V,2026,Family,SUV,Manual,Petrol,1.5L,0,7,Faisalabad,6545000
Daihatsu,Mira,2026,Economy,Hatchback,Manual,Petrol,660cc,0,4,Islamabad,2425000
Toyota,Yaris,2023,Sedan,Sedan,Automatic,Petrol,1.5L,42991,5,Karachi,3420000
Toyota,Fortuner,2023,SUV,SUV,Automatic,Petrol,2.8L,35281,7,Peshawar,11580000
Toyota,Yaris,2024,Sedan,Sedan,Automatic,Petrol,1.5L,20728,5,Karachi,3945000
KIA,Sportage,2023,SUV,SUV,Automatic,Petrol,2.0L,33522,5,Karachi,6865000
Suzuki,Cultus,2024,Hatchback,Hatchback,Manual,Petrol,1.0L,36495,5,Multan,1975000
Suzuki,APV,2013,Van,Van,Manual,Petrol,1.5L,153753,8,Karachi,910000
Suzuki,Bolan,2015,Economy,Van,Automatic,Petrol,800cc,128773,8,Rawalpindi,570000
Toyota,Fortuner,2014,SUV,SUV,Manual,Petrol,2.8L,154289,7,Rawalpindi,2940000
Suzuki,Wagon R,2017,Hatchback,Hatchback,Automatic,Petrol,1.0L,117947,5,Rawalpindi,965000
Suzuki,Cultus,2011,Hatchback,Hatchback,Automatic,Petrol,1.0L,174683,5,Rawalpindi,415000
Suzuki,Cultus,2023,Hatchback,Hatchback,Manual,Petrol,1.0L,41853,5,Islamabad,1965000
Toyota,Prius,2019,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,96861,5,Lahore,2630000
Toyota,Land Cruiser,2023,Luxury,SUV,Manual,Petrol,4.6L,30611,7,Karachi,24620000
Toyota,Hilux,2026,Pickup,Pickup,Automatic,Diesel,2.4L,276,5,Islamabad,10285000
Honda,BR-V,2023,Family,SUV,Automatic,Petrol,1.5L,23168,7,Karachi,5370000
Hyundai,Tucson,2022,SUV,SUV,Manual,Petrol,2.0L,54369,5,Multan,4975000
Toyota,Hilux,2013,Pickup,Pickup,Manual,Diesel,2.4L,157089,5,Multan,1940000
Honda,Civic,2023,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,40791,5,Quetta,6195000
Honda,Civic,2017,Sedan,Sedan,Automatic,Petrol,1.8L,118896,5,Multan,2730000
Honda,Civic,2025,Sedan,Sedan,Manual,Petrol,1.5L Turbo,7590,5,Rawalpindi,7895000
Suzuki,Bolan,2007,Economy,Van,Automatic,Petrol,800cc,223367,8,Islamabad,355000
Honda,City,2025,Sedan,Sedan,Automatic,Petrol,1.2L,1157,5,Karachi,5170000
Honda,BR-V,2018,Family,SUV,Automatic,Petrol,1.5L,96915,7,Karachi,2540000
Hyundai,Tucson,2026,SUV,SUV,Automatic,Petrol,2.0L,0,5,Quetta,8405000
Toyota,Fortuner,2023,SUV,SUV,Automatic,Petrol,2.7L,42966,7,Multan,10215000
Toyota,Fortuner,2012,SUV,SUV,Manual,Petrol,2.8L,162732,7,Quetta,2420000
Toyota,Land Cruiser,2016,Luxury,SUV,Automatic,Petrol,3.5L,115430,7,Multan,9895000
Toyota,Prius,2016,Hybrid,Hatchback,Manual,Hybrid,1.8L Hybrid,109165,5,Quetta,1575000
Daihatsu,Mira,2022,Economy,Hatchback,Manual,Petrol,660cc,51512,4,Lahore,1465000
Toyota,Prius,2020,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,74773,5,Islamabad,3560000
Honda,City,2023,Sedan,Sedan,Automatic,Petrol,1.2L,27153,5,Peshawar,4130000
Suzuki,Cultus,2024,Hatchback,Hatchback,Automatic,Petrol,1.0L,18821,5,Multan,2275000
Honda,BR-V,2019,Family,SUV,Automatic,Petrol,1.5L,120323,7,Karachi,2485000
Suzuki,Bolan,2026,Economy,Van,Automatic,Petrol,800cc,495,8,Quetta,2250000
Suzuki,Cultus,2013,Hatchback,Hatchback,Automatic,Petrol,1.0L,131125,5,Multan,585000
Toyota,Fortuner,2020,SUV,SUV,Manual,Diesel,2.7L,75905,7,Peshawar,7175000
Honda,City,2021,Sedan,Sedan,Manual,Petrol,1.5L,73388,5,Islamabad,2990000
Suzuki,APV,2015,Van,Van,Automatic,Petrol,1.5L,132715,8,Multan,1175000
Hyundai,Tucson,2022,SUV,SUV,Automatic,Petrol,2.0L,37151,5,Karachi,6415000
Honda,Civic,2016,Sedan,Sedan,Manual,Petrol,1.5L Turbo,117397,5,Quetta,2110000
Suzuki,Alto,2019,Economy,Hatchback,Automatic,Petrol,660cc,80050,4,Lahore,1060000
Toyota,Yaris,2025,Sedan,Sedan,Automatic,Petrol,1.5L,1700,5,Lahore,4895000
Suzuki,Cultus,2017,Hatchback,Hatchback,Automatic,Petrol,1.0L,116080,5,Peshawar,960000
Suzuki,APV,2022,Van,Van,Automatic,Petrol,1.5L,39755,8,Faisalabad,2785000
Honda,BR-V,2023,Family,SUV,Manual,Petrol,1.5L,42890,7,Karachi,4375000
Suzuki,Wagon R,2016,Hatchback,Hatchback,Manual,Petrol,1.0L,136621,5,Lahore,795000
Toyota,Corolla,2011,Sedan,Sedan,Automatic,Petrol,1.6L,193534,5,Karachi,1070000
KIA,Sportage,2023,SUV,SUV,Manual,Petrol,2.0L,22795,5,Karachi,5950000
Honda,Civic,2020,Sedan,Sedan,Manual,Petrol,1.5L Turbo,65385,5,Peshawar,3615000
Toyota,Corolla,2017,Sedan,Sedan,Automatic,Petrol,1.6L,94052,5,Islamabad,2260000
Suzuki,Wagon R,2019,Hatchback,Hatchback,Automatic,Petrol,1.0L,76972,5,Karachi,1190000
Toyota,Fortuner,2024,SUV,SUV,Automatic,Petrol,2.7L,25974,7,Lahore,12955000
Honda,Vezel,2025,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,17615,5,Peshawar,8465000
Toyota,Prius,2018,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,96760,5,Faisalabad,2155000
Toyota,Yaris,2021,Sedan,Sedan,Automatic,Petrol,1.3L,54027,5,Rawalpindi,2755000
Suzuki,APV,2014,Van,Van,Automatic,Petrol,1.5L,156449,8,Faisalabad,975000
Toyota,Corolla,2023,Sedan,Sedan,Manual,Petrol,1.8L,15314,5,Multan,4025000
Suzuki,Alto,2018,Economy,Hatchback,Manual,Petrol,660cc,114774,4,Quetta,855000
Honda,BR-V,2021,Family,SUV,Automatic,Petrol,1.5L,60852,7,Lahore,3960000
Hyundai,Tucson,2025,SUV,SUV,Automatic,Petrol,2.0L,10915,5,Peshawar,8735000
Daihatsu,Mira,2023,Economy,Hatchback,Automatic,Petrol,660cc,43512,4,Faisalabad,1905000
Honda,BR-V,2025,Family,SUV,Manual,Petrol,1.5L,19562,7,Faisalabad,5450000
Toyota,Corolla,2015,Sedan,Sedan,Manual,Petrol,1.8L,114008,5,Multan,1635000
Toyota,Corolla,2015,Sedan,Sedan,Manual,Petrol,1.6L,127825,5,Islamabad,1570000
Toyota,Hilux,2019,Pickup,Pickup,Automatic,Diesel,2.4L,91389,5,Faisalabad,3915000
Honda,Civic,2023,Sedan,Sedan,Automatic,Petrol,1.8L,44181,5,Faisalabad,6130000
Honda,Vezel,2026,Hybrid,SUV,Manual,Hybrid,1.5L Hybrid,2984,5,Lahore,8440000
Daihatsu,Mira,2010,Economy,Hatchback,Automatic,Petrol,660cc,198984,4,Quetta,410000
Honda,City,2012,Sedan,Sedan,Automatic,Petrol,1.5L,171273,5,Karachi,915000
Toyota,Prius,2024,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,27830,5,Quetta,4940000
Toyota,Yaris,2025,Sedan,Sedan,Automatic,Petrol,1.3L,663,5,Rawalpindi,4760000
KIA,Sportage,2020,SUV,SUV,Manual,Petrol,2.0L,58154,5,Quetta,3865000
KIA,Sportage,2020,SUV,SUV,Manual,Petrol,2.0L,72895,5,Faisalabad,3160000
Suzuki,Cultus,2017,Hatchback,Hatchback,Automatic,Petrol,1.0L,102117,5,Quetta,1015000
Honda,BR-V,2024,Family,SUV,Automatic,Petrol,1.5L,13247,7,Peshawar,5875000
Toyota,Hilux,2012,Pickup,Pickup,Automatic,Diesel,2.8L,137009,5,Multan,1760000
Daihatsu,Mira,2018,Economy,Hatchback,Automatic,Petrol,660cc,89880,4,Rawalpindi,960000
Suzuki,Cultus,2018,Hatchback,Hatchback,Automatic,Petrol,1.0L,115819,5,Quetta,1080000
Toyota,Hilux,2021,Pickup,Pickup,Manual,Diesel,2.8L,57438,5,Peshawar,5005000
Suzuki,Swift,2019,Hatchback,Hatchback,Manual,Petrol,1.3L,81573,5,Rawalpindi,1820000
Daihatsu,Mira,2018,Economy,Hatchback,Automatic,Petrol,660cc,92412,4,Quetta,985000
Suzuki,Mehran,2023,Economy,Hatchback,Automatic,Petrol,800cc,30435,4,Multan,1135000
Toyota,Fortuner,2023,SUV,SUV,Manual,Diesel,2.7L,36841,7,Lahore,11150000
Suzuki,Wagon R,2026,Hatchback,Hatchback,Automatic,Petrol,1.0L,0,5,Multan,3160000
KIA,Sportage,2023,SUV,SUV,Manual,Petrol,2.0L,38806,5,Peshawar,5720000
Toyota,Corolla,2018,Sedan,Sedan,Manual,Petrol,1.8L,87775,5,Quetta,2455000
KIA,Sportage,2022,SUV,SUV,Automatic,Petrol,2.0L,46800,5,Karachi,5925000
Toyota,Corolla,2021,Sedan,Sedan,Manual,Petrol,1.6L,59628,5,Peshawar,2900000
Toyota,Land Cruiser,2016,Luxury,SUV,Automatic,Petrol,4.6L,117354,7,Rawalpindi,11690000
Toyota,Fortuner,2020,SUV,SUV,Automatic,Petrol,2.7L,72331,7,Karachi,7510000
Suzuki,Bolan,2016,Economy,Van,Manual,Petrol,800cc,131555,8,Peshawar,490000
Suzuki,Swift,2020,Hatchback,Hatchback,Automatic,Petrol,1.3L,82164,5,Quetta,1870000
Toyota,Land Cruiser,2026,Luxury,SUV,Manual,Petrol,4.6L,3124,7,Rawalpindi,37350000
Suzuki,Wagon R,2022,Hatchback,Hatchback,Manual,Petrol,1.0L,58764,5,Karachi,1820000
Toyota,Yaris,2025,Sedan,Sedan,Automatic,Petrol,1.5L,11442,5,Peshawar,4460000
Suzuki,Cultus,2025,Hatchback,Hatchback,Manual,Petrol,1.0L,19095,5,Rawalpindi,2500000
Daihatsu,Mira,2011,Economy,Hatchback,Manual,Petrol,660cc,179079,4,Karachi,435000
Suzuki,Swift,2010,Hatchback,Hatchback,Manual,Petrol,1.3L,175158,5,Rawalpindi,640000
Honda,Civic,2021,Sedan,Sedan,Automatic,Petrol,1.8L,77540,5,Peshawar,4210000
Suzuki,APV,2014,Van,Van,Manual,Petrol,1.5L,124126,8,Peshawar,1025000
Honda,City,2020,Sedan,Sedan,Automatic,Petrol,1.5L,48340,5,Lahore,2635000
Honda,Civic,2017,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,75958,5,Islamabad,2900000
Toyota,Land Cruiser,2020,Luxury,SUV,Manual,Petrol,3.5L,90952,7,Peshawar,16005000
Suzuki,Wagon R,2016,Hatchback,Hatchback,Manual,Petrol,1.0L,125188,5,Quetta,845000
Honda,BR-V,2021,Family,SUV,Automatic,Petrol,1.5L,55196,7,Rawalpindi,3505000
Suzuki,Bolan,2023,Economy,Van,Automatic,Petrol,800cc,33614,8,Multan,1430000
Suzuki,Cultus,2023,Hatchback,Hatchback,Automatic,Petrol,1.0L,43790,5,Rawalpindi,2165000
